# Color	Start Time	End Time	Duration
# hh mm
# hh mm	dd/mon/yyyy	hh mm	dd/mon/yyyy
Amber	13:40	10/Aug/2011	15:30	10/Aug/2011	01 50
Amber	18:15	19/Sep/2011	19:30	19/Sep/2011	01 15
Amber	16:40	16/Apr/2012	19:10	16/Apr/2012	02 30
Amber	10:55	20/Apr/2012	12:20	20/Apr/2012	01 25
Amber	15:20	27/Apr/2012	17:30	27/Apr/2012	02 10
Amber	06:10	29/Apr/2012	08:30	29/Apr/2012	02 20
Red	08:30	29/Apr/2012	10:10	29/Apr/2012	01 40
Amber	21:20	04/May/2012	23:55	04/May/2012	02 35
Amber	08:55	18/May/2012	10:45	18/May/2012	01 50
Amber	11:05	26/May/2012	12:50	26/May/2012	01 45
Amber	02:40	28/May/2012	04:35	28/May/2012	01 55
Amber	15:15	13/Jun/2012	16:40	13/Jun/2012	01 25
Amber	09:20	05/Jul/2012	10:20	05/Jul/2012	01 00
Amber	06:10	18/Jul/2012	08:20	18/Jul/2012	02 10
Amber	17:35	21/Jul/2012	18:40	21/Jul/2012	01 05
Amber	01:55	24/Jul/2012	10:40	24/Jul/2012	08 45
Amber	11:30	25/Jul/2012	14:20	25/Jul/2012	02 50
Amber	11:00	27/Jul/2012	12:30	27/Jul/2012	01 30
Amber	17:10	31/Jul/2012	18:35	31/Jul/2012	01 25
Amber	06:40	11/Aug/2012	08:25	11/Aug/2012	01 45
Amber	13:20	24/Sep/2012	14:20	24/Sep/2012	01 00
Amber	20:40	24/Sep/2012	21:50	24/Sep/2012	01 10
Red	21:50	24/Sep/2012	00:50	25/Sep/2012	03 00
Amber	15:50	19/Mar/2013	19:15	19/Mar/2013	03 25
Amber	16:50	26/Mar/2013	19:35	26/Mar/2013	02 45
Amber	08:40	05/Apr/2013	10:30	05/Apr/2013	01 50
Amber	00:00	06/Apr/2013	02:30	06/Apr/2013	02 30
Amber	19:30	25/Apr/2013	21:00	25/Apr/2013	01 30
Amber	14:20	30/Apr/2013	16:15	30/Apr/2013	01 55
Amber	21:45	08/May/2013	01:30	09/May/2013	03 45
Amber	13:35	16/May/2013	15:20	16/May/2013	01 45
Amber	20:10	20/May/2013	21:20	20/May/2013	01 10
Amber	11:10	21/May/2013	12:30	21/May/2013	01 20
Amber	01:30	22/May/2013	03:20	22/May/2013	01 50
Red	03:20	22/May/2013	04:10	22/May/2013	00 50
Black	04:10	22/May/2013	09:45	22/May/2013	05 35
Amber	09:45	22/May/2013	10:30	22/May/2013	00 45
Amber	10:05	25/May/2013	12:25	25/May/2013	02 20
Amber	02:10	11/Jun/2013	05:15	11/Jun/2013	03 05
Amber	10:50	11/Jun/2013	12:00	11/Jun/2013	01 10
Amber	06:15	24/Jun/2013	10:20	24/Jun/2013	04 05
Red	10:20	24/Jun/2013	11:35	24/Jun/2013	01 15
Amber	11:35	24/Jun/2013	12:00	24/Jun/2013	00 25
Amber	16:05	07/Jul/2013	17:15	07/Jul/2013	01 10
Amber	23:35	14/Jul/2013	01:05	15/Jul/2013	01 30
Amber	08:00	26/Jul/2013	10:30	26/Jul/2013	02 30
Amber	03:40	30/Aug/2013	05:15	30/Aug/2013	01 35
Amber	07:55	30/Aug/2013	09:20	30/Aug/2013	01 25
Amber	07:30	04/Sep/2013	11:00	04/Sep/2013	03 30
