# Intensity	Name	Signal	Start Time	End Time	Duration
# hh mm
# hh mm	dd/mon/yyyy	hh mm	dd/mon/yyyy
Typhoon (Severe Typhoon)	HAGUPIT	8 NE	18:00	23/Sep/2008	00:40	24/Sep/2008	06 40
Typhoon (Severe Typhoon)	HAGUPIT	8 SE	00:40	24/Sep/2008	06:30	24/Sep/2008	05 50
Typhoon (Severe Typhoon)	HAGUPIT	3	06:30	24/Sep/2008	12:50	24/Sep/2008	06 20
Tropical Storm	HIGOS	1	19:30	02/Oct/2008	22:30	04/Oct/2008	51 00
Severe Tropical Storm	LINFA	1	10:40	20/Jun/2009	05:45	21/Jun/2009	19 05
Tropical Storm	NANGKA	1	07:15	26/Jun/2009	15:40	26/Jun/2009	08 25
Tropical Storm	NANGKA	3	15:40	26/Jun/2009	05:25	27/Jun/2009	13 45
Tropical Storm	SOUDELOR	1	16:45	10/Jul/2009	13:25	11/Jul/2009	20 40
Tropical Storm	SOUDELOR	3	13:25	11/Jul/2009	21:15	11/Jul/2009	07 50
Tropical Storm	SOUDELOR	1	21:15	11/Jul/2009	05:20	12/Jul/2009	08 05
Typhoon	MOLAVE	1	22:15	17/Jul/2009	14:15	18/Jul/2009	16 00
Typhoon	MOLAVE	3	14:15	18/Jul/2009	23:30	18/Jul/2009	09 15
Typhoon	MOLAVE	8 NW	23:30	18/Jul/2009	01:30	19/Jul/2009	02 00
Typhoon	MOLAVE	9	01:30	19/Jul/2009	04:40	19/Jul/2009	03 10
Typhoon	MOLAVE	8 SW	04:40	19/Jul/2009	06:40	19/Jul/2009	02 00
Typhoon	MOLAVE	3	06:40	19/Jul/2009	10:40	19/Jul/2009	04 00
Typhoon	MOLAVE	1	10:40	19/Jul/2009	13:15	19/Jul/2009	02 35
Severe Tropical Storm	GONI	1	15:15	03/Aug/2009	11:15	04/Aug/2009	20 00
Severe Tropical Storm	GONI	3	11:15	04/Aug/2009	21:40	04/Aug/2009	10 25
Severe Tropical Storm	GONI	8 SE	21:40	04/Aug/2009	03:40	05/Aug/2009	06 00
Severe Tropical Storm	GONI	3	03:40	05/Aug/2009	05:40	05/Aug/2009	02 00
Severe Tropical Storm	GONI	1	05:40	05/Aug/2009	16:00	05/Aug/2009	10 20
Tropical Storm	MUJIGAE	1	04:35	10/Sep/2009	14:35	10/Sep/2009	10 00
Tropical Storm	MUJIGAE	3	14:35	10/Sep/2009	03:35	11/Sep/2009	13 00
Tropical Storm	MUJIGAE	1	03:35	11/Sep/2009	06:25	11/Sep/2009	02 50
Typhoon	KOPPU	1	20:35	13/Sep/2009	11:15	14/Sep/2009	14 40
Typhoon	KOPPU	3	11:15	14/Sep/2009	17:55	14/Sep/2009	06 40
Typhoon	KOPPU	8 NE	17:55	14/Sep/2009	00:35	15/Sep/2009	06 40
Typhoon	KOPPU	8 SE	00:35	15/Sep/2009	10:15	15/Sep/2009	09 40
Typhoon	KOPPU	3	10:15	15/Sep/2009	13:35	15/Sep/2009	03 20
Typhoon	KOPPU	1	13:35	15/Sep/2009	15:40	15/Sep/2009	02 05
Typhoon	KETSANA	1	22:15	27/Sep/2009	19:15	28/Sep/2009	21 00
Typhoon	CONSON	1	19:20	15/Jul/2010	21:15	16/Jul/2010	25 55
Typhoon	CHANTHU	1	12:15	20/Jul/2010	16:40	21/Jul/2010	28 25
Typhoon	CHANTHU	3	16:40	21/Jul/2010	11:40	22/Jul/2010	19 00
Typhoon	CHANTHU	1	11:40	22/Jul/2010	14:40	22/Jul/2010	03 00
Severe Tropical Storm	LIONROCK	1	10:35	29/Aug/2010	19:10	30/Aug/2010	32 35
Severe Tropical Storm	LIONROCK	1	20:40	02/Sep/2010	16:40	03/Sep/2010	20 00
Severe Typhoon	FANAPI	1	16:35	19/Sep/2010	16:05	20/Sep/2010	23 30
Severe Typhoon	FANAPI	3	16:05	20/Sep/2010	07:35	21/Sep/2010	15 30
Super Typhoon	MEGI	1	16:35	20/Oct/2010	05:40	21/Oct/2010	13 05
Super Typhoon	MEGI	3	05:40	21/Oct/2010	18:05	22/Oct/2010	36 25
Super Typhoon	MEGI	1	18:05	22/Oct/2010	20:40	22/Oct/2010	02 35
Tropical Storm	SARIKA	1	09:40	10/Jun/2011	07:15	11/Jun/2011	21 35
Tropical Storm	HAIMA	1	21:35	20/Jun/2011	05:45	22/Jun/2011	32 10
Tropical Storm	HAIMA	3	05:45	22/Jun/2011	10:25	23/Jun/2011	28 40
Tropical Storm	HAIMA	1	10:25	23/Jun/2011	20:45	23/Jun/2011	10 20
Severe Tropical Storm	NOCK-TEN	1	08:40	28/Jul/2011	18:45	28/Jul/2011	10 05
